animeID,title,genres
40683,Carry Me Off feat. Hatsune Miku,Music
40682,Kingdom 3rd Season,"Action,Military,Historical,Seinen"
40682,Kingdom 3rd Season,"Action,Military,Historical,Seinen"
40679,2.43: Seiin Koukou Danshi Volley-bu,"School,Sports"
40677,Argonavis from BanG Dream!,Music
40674,Nantoka Tengoku,Dementia
40673,Tokyo Mikansei,"Dementia,Music"
40672,Usagi no Mofy (TV 2016),Kids
40671,Usagi no Mofy (TV 2014),Kids
40670,Usagi no Mofy (TV),Kids
40665,Shoujo☆Kageki Revue Starlight Recap,"Music,School"
40665,Shoujo☆Kageki Revue Starlight Recap,"Music,School"
40664,Shoujo☆Kageki Revue Starlight Movie,"Music,School"
40664,Shoujo☆Kageki Revue Starlight Movie,"Music,School"
40660,Start,Slice of Life
40659,Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,"Slice of Life,Comedy"
40658,** Kouhai,"Harem,Hentai,Demons,Magic,Fantasy"
40656,Girls & Panzer: Taiyaki War!,"Military,Comedy,School"
40655,Melon no Kirime,"Kids,Music,Slice of Life"
40652,Onmyou Hyakki Monogatari,"Historical,Demons,Supernatural"
40652,Onmyou Hyakki Monogatari,"Historical,Demons,Supernatural"
40651,Kandagawa Jet Girls Recap,"Sports,Ecchi"
40646,Yes ka No ka Hanbun ka,"Drama,Shounen Ai"
40646,Yes ka No ka Hanbun ka,"Drama,Shounen Ai"
40645,Kaigo to Ikiru,"Drama,Music"
40644,Miki no Mikoto (TV),"Fantasy,Music,Slice of Life,Supernatural"
40644,Miki no Mikoto (TV),"Fantasy,Music,Slice of Life,Supernatural"
40642,Yakusoku (2011),"Drama,Supernatural"
40641,Lilttle Wonders: Sneeze,Kids
40639,Tonari no Ie no Anette-san The Animation,Hentai
40636,Marco to Ginga Ryuu,"Action,Adventure,Comedy,Fantasy"
40636,Marco to Ginga Ryuu,"Action,Adventure,Comedy,Fantasy"
40633,Seishun,Drama
40628,A Brightening Life,"Drama,Music"
40626,Shobo Kujira Chibi Cobra,"Kids,Music"
40625,Sayounara Concert,"Kids,Music"
40623,Dokyuu Hentai HxEros,"Action,Comedy,Supernatural,Ecchi,School,Shounen"
40621,Shimajirou to Sora Tobu Fune,Kids
40621,Shimajirou to Sora Tobu Fune,Kids
40620,Uramichi Oniisan,"Slice of Life,Comedy"
40620,Uramichi Oniisan,"Slice of Life,Comedy"
40619,Suppon Pon Pon,"Drama,Kids,Music"
40616,Megane,"Kids,Music,Slice of Life"
40615,Umibe no Étranger,"Slice of Life,Romance,Shounen Ai"
40615,Umibe no Étranger,"Slice of Life,Romance,Shounen Ai"
40613,Altered Carbon: Resleeved,"Action,Drama,Sci-Fi"
40612,Pokke,"Kids,Music"
40610,Healin Good♡Precure,"Action,Magic,Fantasy,Shoujo"
40610,Healin Good♡Precure,"Action,Magic,Fantasy,Shoujo"
40603,My Boy,"Kids,Music,Romance"
40602,7 Seeds 2nd Season,"Sci-Fi,Adventure,Mystery,Psychological,Drama,Romance,Shoujo"
40600,Obaachan Moshikashite,"Kids,Music"
40599,Natane Shigure,"Kids,Music"
40598,Itekoma Hits,"Music,Dementia,Psychological"
40597,Sol Levante,"Action,Fantasy"
40597,Sol Levante,"Action,Fantasy"
40595,"Kimi to Boku no Saigo no Senjou,Aruiwa Sekai ga Hajimaru Seisen","Action,Military,Romance,Fantasy"
40595,"Kimi to Boku no Saigo no Senjou,Aruiwa Sekai ga Hajimaru Seisen","Action,Military,Romance,Fantasy"
40594,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,"Adventure,Fantasy"
40594,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,"Adventure,Fantasy"
40593,Furusato no Gogatsu,"Kids,Music"
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Comedy,Psychological,Romance,School,Seinen"
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Comedy,Psychological,Romance,School,Seinen"
40590,Utawarerumono: Futari no Hakuoro,"Action,Drama,Fantasy"
40590,Utawarerumono: Futari no Hakuoro,"Action,Drama,Fantasy"
40587,Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,"Action,Fantasy,Magic,Shoujo"
40587,Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,"Action,Fantasy,Magic,Shoujo"
40586,"Slime Taoshite 300-nen,Shiranai Uchi ni Level Max ni Nattemashita","Comedy,Fantasy"
40586,"Slime Taoshite 300-nen,Shiranai Uchi ni Level Max ni Nattemashita","Comedy,Fantasy"
40582,Omoide Onigiri,"Kids,Music"
40578,Lupin III: Prison of the Past,"Action,Adventure,Mystery,Comedy,Seinen"
40576,Watashi to Piano,"Kids,Music"
40573,Sotsugyou Mae: 10-hi de 100 no Dekigoto,"Kids,Music"
40571,Majo no Tabitabi,"Adventure,Fantasy"
40571,Majo no Tabitabi,"Adventure,Fantasy"
40570,The Peak,"Kids,Fantasy"
40569,Raison dêtre,Music
40567,Mashin Eiyuuden Wataru: Nana Tamashii no Ryuujinmaru,"Action,Sci-Fi,Adventure,Comedy,Mecha,Shounen"
40567,Mashin Eiyuuden Wataru: Nana Tamashii no Ryuujinmaru,"Action,Sci-Fi,Adventure,Comedy,Mecha,Shounen"
40564,Blue Star feat. Hatsune Miku,Music
40562,Otanjoubi Omedetou,"Kids,Music"
40560,Baby Maniacs feat. Hatsune Miku,Music
40559,TRAPxTRAP feat. Hatsune Miku,Music
40558,Little Scarlet Bad Girl feat. Hatsune Miku,Music
40557,Sweet Devil feat. Hatsune Miku,Music
40556,Electric Love feat. Hatsune Miku,Music
40555,Heart Chrome feat. Anon & Kanon,Music
40553,Watashi no Ningyou,"Kids,Music"
40552,Soushunfu,"Kids,Music"
40550,Assault Lily: Bouquet,"Action,Magic,Fantasy"
